"node","layer","lat","lon","zone","atcocode"
     0,5,51.40078,-0.46353,400,"400G4402814B"
     1,2,51.85401, 0.99745,150," 910GALRESFD"
     1,5,51.85401, 0.99745,150," 910GALRESFD"
     1,4,51.85401, 0.99745,150," 910GALRESFD"
     2,5,52.40505,-0.33145, 50,"050GHE001002"
     3,5,56.22289,-2.70083,650,"   650GN0337"
     4,5,55.56366,-4.64217,619,"   619G24473"
     5,5,55.52239,-4.59326,619,"   619G24538"
     6,5,51.44995,-0.41833,490,"490G00012111"
     7,5,51.41801,-1.26289, 30,"030G52970001"
     8,5,54.93110,-2.79580, 90,"090GG33G8315"
     9,5,53.66040,-1.95155,450,"    450G7916"
    10,5,53.38240,-2.65212, 69,"  069GWAR345"
    11,5,53.38293,-2.65324, 69,"  069GWAR344"
    12,5,53.38145,-2.64816, 69,"  069GWAR347"
    13,5,53.40150,-2.56765, 69,"  069GWAR341"
    14,5,53.40269,-2.56489, 69,"  069GWAR340"
    15,5,53.38504,-2.68871, 69,"  069GWAR343"
    16,5,53.39945,-2.56912, 69,"  069GWAR342"
    17,5,55.89195,-4.17978,609,"   609G04290"
    18,5,53.38364,-2.64647, 69,"  069GWAR349"
    19,5,53.38186,-2.64643, 69,"  069GWAR348"
    20,5,51.45774,-0.12900,490,"490G00009460"
    21,5,51.40161,-1.24141, 30,"030G58180001"
    22,2,53.54282,-2.90449,910," 910GTOWNGRN"
    22,5,53.54282,-2.90449,910," 910GTOWNGRN"
    23,5,53.80258,-1.80051,450,"     450G478"
    24,5,53.80355,-1.80414,450,"     450G479"
    25,5,52.39917,-0.18364, 50,"050GAB001002"
    26,5,51.62079,-0.29805,490,"490G00009288"
    27,4,56.77054,-3.92862,648,"  648G221439"
    27,5,56.77054,-3.92862,648,"  648G221439"
    28,5,53.82915,-1.72419,450,"     450G470"
    29,5,53.82761,-1.72390,450,"     450G471"
    30,5,53.82598,-1.72263,450,"     450G472"
    31,5,52.74535,-0.13235,270,"270G00012931"
    32,5,53.82301,-1.72397,450,"     450G474"
    33,5,53.82139,-1.72377,450,"     450G475"
    34,5,53.81894,-1.72084,450,"     450G476"
    35,5,53.80096,-1.79615,450,"     450G477"
    36,5,52.22137,-1.03400,300,"     300G238"
    37,5,55.70888,-3.83033,615,"   615G14506"
    38,5,51.54389,-0.37527,490,"490G00006638"
    39,5,54.99510,-3.05752,680,"680G40000153"
    40,5,52.73743,-0.12752,270,"270G00012930"
    41,5,53.85432,-1.91594,450,"    450G3952"
    42,5,51.26409,-0.63908,400,"400G4407091B"
    43,5,51.42525,-0.70519, 38,"038G00021000"
    44,5,52.37988, 1.44598,390,"   390G60069"
    45,5,53.15842,-1.15516,330,"  330GMA0016"
    46,5,53.15561,-1.17922,330,"  330GMA0014"
    47,5,53.15574,-1.15860,330,"  330GMA0015"
    48,5,53.14536,-1.15768,330,"  330GMA0012"
    49,5,55.56619,-5.49578,607,"    607G4020"
    50,5,53.15788,-1.14770,330,"  330GMA0010"
    51,5,53.21598,-1.16254,330,"  330GMA0011"
    52,5,53.43797,-1.38166,370,"  370G102752"
    53,5,51.38895,-0.90198, 35,"035G77280001"
    54,5,53.15839,-1.14751,330,"  330GMA0018"
    55,5,53.15271,-1.16521,330,"  330GMA0019"
    56,5,52.68584,-1.27855,260," 260GCC16308"
    57,5,55.41559,-5.69424,607,"    607G4004"
    58,5,51.44737, 0.21926,240,"  910GDARTFD"
    58,2,51.44737, 0.21926,240,"  910GDARTFD"
    59,5,51.46159,-1.31614, 30,"030G51290001"
    60,5,52.91648,-1.16599,339,"    339GSI03"
    61,5,51.32189,-0.53594,400,"400G4404028A"
    62,5,53.44214,-1.38141,370,"  370G102753"
    63,5,51.47080,-0.27344,490,"490G00005409"
    64,5,51.24098,-0.73481,400,"400G4407063D"
    65,5,51.33111,-0.50871,400,"400G4404021B"
    66,2,53.61132,-2.86756,910," 910GNEWLANE"
    66,5,53.61132,-2.86756,910," 910GNEWLANE"
    67,5,55.94805,-4.86092,613,"   613G01152"
    68,5,52.28022,-0.11180, 50,"050GHL003004"
    69,5,53.73138,-1.65371,450,"    450G7852"
    70,5,53.59856,-1.92862,450,"    450G1326"
    71,5,52.43447, 1.47064,390,"   390G70068"
    72,5,53.73941,-1.66247,450,"    450G7853"
    73,5,52.62637, 1.44428,290,"     290G795"
    74,5,53.16237, 0.23680,270,"270G00011013"
    75,5,53.82747,-1.73024,450,"    450G9383"
